id,arm,day,card_id,correct,load
1,1,0,1,0,0.41965061194170744
1,1,0,2,1,0.7755280804750234
1,1,0,3,1,0.7505730461420491
1,1,0,4,1,0.549779467818023
1,1,0,5,0,0.4784982779956918
1,1,0,6,1,0.6722820994441447
1,1,0,7,0,0.3584595652181859
1,1,0,8,0,0.8249321856116585
1,1,0,9,1,0.6658220047146634
1,1,0,10,0,0.722142847307404
1,1,0,11,1,0.17188480916030302
1,1,0,12,0,0.4450937588128007
1,1,0,13,1,0.18886346719812597
1,1,0,14,0,0.2112422625404069
1,1,0,15,1,0.43409467804735097
1,1,0,16,1,0.5018528635830244
1,1,0,17,0,0.2258947325765693
1,1,0,18,0,0.1595736791389142
1,1,0,19,1,0.7866490134679122
1,1,0,20,1,0.5418203920696875
1,1,0,21,1,0.536655783180798
1,1,0,22,0,0.5121533931805023
1,1,0,23,1,0.6750461511837401
1,1,0,24,1,0.21519131701557426
1,1,0,25,0,0.6449753894676129
1,1,0,26,0,0.37277151302988915
1,1,0,27,0,0.614779510961561
1,1,0,28,0,0.4556426037372719
1,1,0,29,0,0.6184753446581123
1,1,0,30,0,0.7411775731704744
1,1,0,31,1,0.7552982013082631
1,1,0,32,0,0.8143568147276857
1,1,0,33,0,0.6324930139484691
1,1,0,34,1,0.5220121273888838
1,1,0,35,0,0.5169447832646081
1,1,0,36,0,0.6426620987522845
1,1,0,37,0,0.3241532293477643
1,1,0,38,1,0.4328605083804825
1,1,0,39,1,0.6450641621278446
1,1,0,40,1,0.16246244641419
2,1,0,1,1,0.7672392599633232
2,1,0,2,0,0.32261870433449713
2,1,0,3,1,0.44733416489175
2,1,0,4,1,0.342261138958122
2,1,0,5,0,0.4459610471041326
2,1,0,6,1,0.32856153250968556
2,1,0,7,1,0.7134213910632624
2,1,0,8,0,0.693769170079289
2,1,0,9,0,0.6786703029352411
2,1,0,10,0,0.6203752815491844
2,1,0,11,0,0.3561130470989828
2,1,0,12,1,0.20449287013932893
2,1,0,13,0,0.4584074754413089
2,1,0,14,0,0.6988375551512452
2,1,0,15,0,0.7039644205741997
2,1,0,16,0,0.5578188783830537
2,1,0,17,1,0.3192599904727172
2,1,0,18,1,0.568812708473178
2,1,0,19,0,0.5202542135843988
2,1,0,20,0,0.41796827434512296
2,1,0,21,1,0.4466075778152312
2,1,0,22,1,0.7526088557405459
2,1,0,23,1,0.3394938698236991
2,1,0,24,1,0.328287802018681
